Base Station,,,,,,,
Time (s),Easting (m),Northing (m),Elevation (m),,"E, Diff.from Avg.","N, Diff.from Avg.","Elev, Diff.from Avg."
38,668250.409,3034564.666,0.409,,0.094684000010602,0.053191998042166,0.573316
39,668250.924,3034565.858,1.81,,0.609684000024572,1.24519199784845,0.827684
40,668250.162,3034563.997,0.2,,0.152315999963321,0.615808002185077,0.782316
41,668250.524,3034568.455,1.621,,0.209684000001289,3.84219199791551,0.638684
42,668249.123,3034564.79,1.478,,1.19131599995308,0.177191997878253,0.495684
43,668249.337,3034565.478,0.223,,0.977315999916755,0.86519199796021,0.759316
44,668251.285,3034562.577,0.317,,0.9706840000581,2.03580800211057,0.665316
45,668250.352,3034565.962,1.386,,0.0376839999808,1.34919199766591,0.403684
46,668248.466,3034563.584,0.723,,1.8483159999596,1.02880800236017,0.259316
47,668249.76,3034564.128,1.071,,0.554315999965183,0.484808002132922,0.088684
48,668251.797,3034566.693,1.559,,1.48268400004599,2.0801919978112,0.576684
49,668251.617,3034562.656,0.758,,1.30268399999477,1.95680800219998,0.224316
50,668247.034,3034565.027,0.608,,3.2803159999894,0.414191997610033,0.374316
51,668249.164,3034563.372,1.382,,1.15031599998474,1.24080800218508,0.399684
52,668250.744,3034566.64,0.423,,0.429683999973349,2.02719199797139,0.559316
53,668251.205,3034562.947,1.003,,0.890683999983594,1.66580800199881,0.020684
54,668250.262,3034564.423,1.208,,0.052315999986604,0.189808002207428,0.225684
55,668247.154,3034566.253,1.753,,3.16031599999405,1.64019199786708,0.770684
56,668250.581,3034564.162,0.357,,0.266684000031091,0.450808002147824,0.625316
57,668251.494,3034562.601,0.208,,1.17968399997335,2.01180800236762,0.774316
58,668251.933,3034567.259,1.729,,1.61868399998639,2.64619199791923,0.746684
59,668247.787,3034562.855,1.816,,2.52731599996332,1.75780800217763,0.833684
60,668249.823,3034564.642,1.161,,0.491315999999642,0.02919199783355,0.178684
61,668249.968,3034564.46,0.669,,0.346315999981016,0.152808002196252,0.313316
62,668250.8,3034564.468,1.004,,0.485684000072069,0.144808002281934,0.021684
63,668248.731,3034566.507,0.905,,1.58331599994563,1.89419199805707,0.077316
64,668251.123,3034565.304,0.699,,0.808684000046924,0.691191997844726,0.283316
65,668252.53,3034562.948,0.822,,2.21568400005344,1.66480800230056,0.160316
66,668248.376,3034561.927,0.058,,1.938315999927,2.68580800201744,0.924316
67,668249.004,3034565.035,1.005,,1.31031600001734,0.422191997990012,0.022684
68,668250.338,3034564.386,1.181,,0.023684000014328,0.226808002218604,0.198684
69,668249.505,3034564.49,0.704,,0.80931599996984,0.122808001935482,0.278316
70,668248.977,3034563.829,0.371,,1.3373160000192,0.783808002248406,0.611316
71,668251.873,3034566.288,0.769,,1.55868400004692,1.67519199801609,0.213316
72,668248.612,3034565.888,1.296,,1.70231600000989,1.27519199764356,0.313684
73,668250.402,3034563.838,1.283,,0.087684000027366,0.774808002170175,0.300684
74,668252.116,3034564.911,1.393,,1.80168400006369,0.298191997688264,0.410684
75,668250.016,3034564.743,1.572,,0.298316000029445,0.130191997624934,0.589684
76,668249.558,3034565.304,1.067,,0.756316000013612,0.691191997844726,0.084684
77,668249.303,3034561.052,0.815,,1.01131600001827,3.56080800201744,0.167316
78,668251.411,3034566.924,1.152,,1.09668399998918,2.31119199795648,0.169684
79,668252.867,3034565.03,1.19,,2.55268399999477,0.41719199763611,0.207684
80,668249.837,3034562.192,1.545,,0.477315999916755,2.42080800235271,0.562684
81,668250.136,3034564.326,1.159,,0.178315999917686,0.286808002274483,0.176684
82,668250.882,3034565.801,1.002,,0.56768400000874,1.18819199781865,0.019684
83,668250.512,3034564.85,0.443,,0.197684000013396,0.237191997934133,0.539316
84,668248.112,3034566.299,1.516,,2.20231600000989,1.68619199795648,0.533684
85,668248.906,3034562.559,0.632,,1.40831600001548,2.05380800226703,0.350316
86,668248.041,3034567.432,0.982,,2.27331600000616,2.8191919978708,0.000316
87,668247.957,3034562.249,0.489,,2.35731599992141,2.36380800232291,0.493316
88,668248.357,3034563.883,1.824,,1.95731600001454,0.729808002244681,0.841684
89,668249.91,3034564.57,1.783,,0.4043159999419,0.042808002326638,0.800684
90,668253.432,3034562.522,0.052,,3.11768400005531,2.09080800227821,0.930316
91,668249.833,3034565.627,1.135,,0.481315999990329,1.01419199770316,0.152684
92,668252.487,3034566.301,1.868,,2.17268399999011,1.68819199781865,0.885684
93,668250.183,3034564.763,0.475,,0.131316000013612,0.15019199764356,0.507316
94,668247.479,3034564.627,1.672,,2.83531599992421,0.014191997703165,0.689684
95,668250.869,3034565.077,0.831,,0.554683999973349,0.464191997889429,0.151316
96,668253.44,3034562.776,0.504,,3.12568399996962,1.83680800208822,0.478316
97,668248.231,3034567.135,1.37,,2.08331599994563,2.52219199761748,0.387684
98,668251.763,3034567.085,1.411,,1.44868400006089,2.47219199780375,0.428684
99,668250.347,3034562.629,0.455,,0.032683999976143,1.98380800196901,0.527316
100,668252.174,3034564.187,0.928,,1.85968400002457,0.425808002240956,0.054316
101,668251.434,3034563.077,0.732,,1.11968400003389,1.53580800211057,0.250316
102,668250.395,3034564.134,1.341,,0.08068400004413,0.478808002080768,0.358684
103,668248.826,3034567.066,0.284,,1.48831599997357,2.45319199794903,0.698316
104,668250.211,3034564.723,0.982,,0.103315999964252,0.110191998071969,0.000316
105,668250.571,3034566.036,1.239,,0.256684000021778,1.42319199768826,0.256684
106,668249.705,3034565.048,0.9,,0.609316000016406,0.435191997792572,0.082316
107,668248.954,3034565.828,1.109,,1.36031599994749,1.21519199805334,0.126684
108,668250.646,3034564.44,1.123,,0.331683999975212,0.172808002214879,0.140684
109,668249.912,3034565.064,0.347,,0.402315999963321,0.451191997621208,0.635316
110,668250.519,3034566.159,1.641,,0.204683999996632,1.5461919978261,0.658684
111,668250.539,3034568.123,1.997,,0.224684000015259,3.51019199797884,1.014684
112,668251.093,3034566.083,0.698,,0.778684000018984,1.47019199794158,0.284316
113,668250.246,3034564.735,1.125,,0.068315999931656,0.122191997710615,0.142684
114,668251.092,3034563.278,1.061,,0.777683999971487,1.33480800222605,0.078684
115,668250.492,3034565.658,1.39,,0.17768399999477,1.04519199766219,0.407684
116,668254.121,3034564.48,0.261,,3.80668400006834,0.132808002177626,0.721316
117,668251.839,3034561.797,1.68,,1.52468400006183,2.81580800237134,0.697684
118,668247.899,3034564.141,1.399,,2.41531599999871,0.471808002330363,0.416684
119,668250.202,3034564.011,1.917,,0.112315999926068,0.601808002218604,0.934684
120,668250.759,3034563.965,1.753,,0.444683999987319,0.647808002308011,0.770684
121,668250.332,3034564.437,1.016,,0.017684000078589,0.175808002240956,0.033684
122,668251.39,3034561.269,0.093,,1.07568400003947,3.34380800230429,0.889316
123,668251.508,3034562.611,0.057,,1.19368400005624,2.00180800212547,0.925316
124,668249.279,3034563.883,0.876,,1.03531599999405,0.729808002244681,0.106316
125,668249.935,3034565.616,1.403,,0.379315999918617,1.00319199776277,0.420684
126,668248.477,3034564.86,1.058,,1.8373160000192,0.247191997710615,0.075684
127,668251.793,3034565.846,1.971,,1.47868399997242,1.23319199774414,0.988684
128,668249.404,3034563.311,0.441,,0.910315999994054,1.30180800193921,0.541316
129,668250.002,3034565.417,1.079,,0.312315999995917,0.804191997740418,0.096684
130,668249.323,3034564.597,0.851,,0.991315999999642,0.015808002091944,0.131316
131,668250.409,3034564.879,0.881,,0.094684000010602,0.26619199803099,0.101316
132,668250.27,3034565.623,1.938,,0.04431599995587,1.01019199797884,0.955684
133,668249.414,3034560.883,1.447,,0.900315999984741,3.72980800224468,0.464684
134,668250,3034564.407,1.233,,0.314315999974497,0.205808002036065,0.250684
135,668251.947,3034561.197,0.012,,1.63268400006928,3.41580800199881,0.970316
136,668248.689,3034568.111,0.644,,1.62531599996146,3.49819199787453,0.338316
137,668251.593,3034563.145,1.909,,1.27868400001898,1.46780800214037,0.926684
138,668249.517,3034564.192,1.291,,0.797315999981947,0.420808002352715,0.308684
139,668248.25,3034562.411,0.807,,2.0643159999745,2.20180800231174,0.175316
140,668250.145,3034564.56,1.387,,0.16931599995587,0.05280800210312,0.404684
141,668249.82,3034564.09,0.255,,0.494316000025719,0.522808002308011,0.727316
142,668251.079,3034564.132,1.274,,0.764684000052512,0.480808001942933,0.291684
143,668248.448,3034566.071,0.209,,1.86631599999964,1.45819199783728,0.773316
144,668251.576,3034564.742,0.696,,1.26168400002643,0.129191997926682,0.286316
145,668249.504,3034564.94,1.226,,0.810316000017338,0.327191997785121,0.243684
146,668249.641,3034563.456,1.45,,0.673316000029445,1.15680800238624,0.467684
147,668251.572,3034564.617,0.253,,1.25768400006928,0.004191997926682,0.729316
148,668248.49,3034562.999,1.216,,1.82431599998381,1.61380800232291,0.233684
149,668251.01,3034565.182,1.176,,0.695684000034817,0.569191997870803,0.193684
150,668251.666,3034566.952,1.326,,1.35168399999384,2.33919199788943,0.343684
151,668249.912,3034564.952,0.4,,0.402315999963321,0.339191997889429,0.582316
152,668253.108,3034565.716,1.065,,2.79368400003295,1.1031919978559,0.082684
153,668252.265,3034564.546,1.146,,1.95068400003947,0.066808002069593,0.163684
154,668249.1,3034563.443,1.269,,1.21431599999778,1.1698080021888,0.286684
155,668250.085,3034565.091,1.369,,0.22931600001175,0.478191997855902,0.386684
156,668250.095,3034567.675,1.656,,0.219316000002436,3.06219199765474,0.673684
157,668253.525,3034565.08,1.176,,3.21068400004879,0.467191997915506,0.193684
158,668249.776,3034564.751,1.816,,0.538316000020132,0.138191998004913,0.833684
159,668247.922,3034567.733,0.031,,2.39231599995401,3.12019199784845,0.951316
160,668252.534,3034565.968,0.245,,2.2196840000106,1.35519199771807,0.737316
161,668247.509,3034563.54,0.271,,2.80531600001268,1.07280800212175,0.711316
162,668251.489,3034564.26,1.547,,1.17468399996869,0.352808002382517,0.564684
163,668250.828,3034567.21,0.772,,0.513684000005014,2.59719199780375,0.210316
164,668250.795,3034564.179,1.077,,0.480684000067413,0.433808002155274,0.094684
165,668248.473,3034566.532,1.169,,1.84131599997636,1.91919199796394,0.186684
166,668251.258,3034563.505,0.683,,0.943684000056237,1.10780800227076,0.299316
167,668250.649,3034564.058,0.946,,0.334684000001289,0.554808001965284,0.036316
168,668250.917,3034564.901,1.4,,0.602684000041336,0.288191997911781,0.417684
169,668251.746,3034564.618,1.343,,1.43168400006834,0.005191997624934,0.360684
170,668253.084,3034565.572,1.236,,2.76968400005717,0.959191998001188,0.253684
171,668250.898,3034565.753,0.734,,0.583684000070207,1.14019199786708,0.248316
172,668249.537,3034562.135,0.828,,0.777315999963321,2.47780800238252,0.154316
173,668250.372,3034564.404,1.383,,0.057683999999426,0.208808002062142,0.400684
174,668247.759,3034564.471,0.311,,2.55531600001268,0.141808002255857,0.671316
175,668249.746,3034562.653,1.697,,0.568315999931656,1.95980800222605,0.714684
176,668250.828,3034567.651,0.054,,0.513684000005014,3.03819199791178,0.928316
177,668247.8,3034565.632,1.773,,2.51431599992793,1.01919199805707,0.790684
178,668250.196,3034563.221,1.975,,0.118315999978222,1.39180800225586,0.992684
179,668250.239,3034564.546,1.257,,0.075316000031307,0.066808002069593,0.274684
180,668248.547,3034564.812,1.708,,1.76731599995401,0.199191997759044,0.725684
181,668250.846,3034562.683,0.298,,0.531684000045061,1.92980800196528,0.684316
182,668253.814,3034564.897,1.047,,3.49968400003854,0.284191997721791,0.064684
183,668250.952,3034565.827,0.182,,0.637684000073932,1.21419199788943,0.800316
184,668248.737,3034565.386,1.823,,1.57731600000989,0.773191997781396,0.840684
185,668251.174,3034563.858,1.478,,0.859684000024572,0.754808002151549,0.495684
186,668252.586,3034564.086,0.079,,2.27168400003575,0.52680800203234,0.903316
187,668251.242,3034562.197,0.84,,0.92768399999477,2.41580800199881,0.142316
188,668248.938,3034563.685,0.186,,1.37631600000896,0.92780800210312,0.796316
189,668250.155,3034564.764,0.888,,0.159315999946557,0.151191997807473,0.094316
190,668252.298,3034562.693,0.225,,1.98368399997707,1.9198080021888,0.757316
191,668250.605,3034565.488,0.069,,0.290684000006877,0.875191997736692,0.913316
192,668248.827,3034565.394,0.418,,1.48731599992607,0.781191997695714,0.564316
193,668247.634,3034565.341,1.705,,2.68031600001268,0.728191997855902,0.722684
194,668251.014,3034561.432,0.547,,0.699683999991976,3.1808080021292,0.435316
195,668249.203,3034567.977,0.739,,1.11131599999499,3.3641919977963,0.243316
196,668252.757,3034564.416,0.567,,2.44268400000874,0.196808001957834,0.415316
197,668248.482,3034565.102,0.563,,1.83231600001454,0.489191997796297,0.419316
198,668248.888,3034564.147,0.786,,1.42631599993911,0.465808002278209,0.196316
199,668247.649,3034562.475,1.877,,2.66531599999871,2.13780800206587,0.894684
200,668250.656,3034565.677,0.182,,0.341683999984525,1.06419199798256,0.800316
201,668249.64,3034562.714,0.606,,0.674315999960527,1.89880800200626,0.376316
202,668250.095,3034564.173,0.436,,0.219316000002436,0.439808002207428,0.546316
203,668250.315,3034567.92,1.009,,0.000683999969624,3.30719199776649,0.026684
204,668253.327,3034565.076,0.927,,3.01268400007393,0.463191997725517,0.055316
205,668249.993,3034562.684,1.9,,0.321315999957733,1.92880800226703,0.917684
206,668251.956,3034563.949,1.512,,1.64168400003109,0.663808002136648,0.529684
207,668249.55,3034564.237,1.242,,0.764315999927931,0.375808001961559,0.259684
208,668250.931,3034563.766,1.798,,0.616684000007808,0.846808002330363,0.815684
209,668248.597,3034566.369,0.506,,1.71731600002386,1.75619199778885,0.476316
210,668249.953,3034564.469,0.834,,0.361315999994986,0.143808002118021,0.148316
211,668250.325,3034563.5,1.146,,0.010683999978937,1.112808002159,0.163684
212,668252.484,3034565.136,0.718,,2.16968400008045,0.523191997781396,0.264316
213,668250.214,3034564.618,1.809,,0.100315999938175,0.005191997624934,0.826684
214,668250.221,3034565.169,1.709,,0.093315999954939,0.556191998068243,0.726684
215,668249.752,3034561.337,1.436,,0.562315999995917,3.27580800233409,0.453684
216,668249.406,3034561.811,1.268,,0.908316000015475,2.80180800193921,0.285684
217,668251.362,3034565.398,1.123,,1.04768399999011,0.785191997885704,0.140684
218,668252.403,3034564.889,0.249,,2.08868400007486,0.276191997807473,0.733316
219,668251.052,3034564.712,1.444,,0.737684000050649,0.099191997665912,0.461684
220,668249.994,3034565.846,0.12,,0.320316000026651,1.23319199774414,0.862316
221,668252.282,3034567.668,0.101,,1.96768400003202,3.05519199790433,0.881316
222,668250.46,3034563.776,0.79,,0.14568399998825,0.836808002088219,0.192316
223,668250.755,3034567.209,0.522,,0.44068400003016,2.59619199763983,0.460316
224,668250.083,3034564.716,0.225,,0.231315999990329,0.103191997855902,0.757316
225,668247.937,3034563.27,0.598,,2.37731599994004,1.34280800214037,0.384316
226,668251.191,3034563.869,0.063,,0.876684000017121,0.743808002211154,0.919316
227,668249.328,3034563.432,0.106,,0.986315999994986,1.1808080021292,0.876316
228,668251.219,3034563.87,0.413,,0.904684000066482,0.742808002047241,0.569316
229,668252.655,3034563.026,0.666,,2.34068400005344,1.58680800208822,0.316316
230,668249.884,3034566.539,1.227,,0.430316000012681,1.92619199771434,0.244684
231,668248.962,3034565.929,0.886,,1.35231599991675,1.31619199784473,0.096316
232,668250.107,3034564.413,0.493,,0.207316000014544,0.199808001983911,0.489316
233,668249.899,3034563.31,0.89,,0.415315999998711,1.30280800210312,0.092316
234,668248.504,3034567.368,0.297,,1.81031600001734,2.75519199762493,0.685316
235,668250.178,3034564.686,0.162,,0.136316000018269,0.073191998060793,0.820316
236,668251.912,3034561.108,0.127,,1.59768400003668,3.50480800215155,0.855316
237,668248.215,3034564.133,0.71,,2.09931600000709,0.479808002244681,0.272316
238,668249.982,3034564.603,0.945,,0.332316000014544,0.00980800203979,0.037316
239,668251.81,3034568.142,0.575,,1.49568400008138,3.52919199783355,0.407316
240,668250.366,3034564.63,1.505,,0.051684000063688,0.017191997729242,0.522684
241,668248.761,3034562.772,0.429,,1.55331599991769,1.84080800227821,0.553316
242,668251.357,3034562.806,0.685,,1.04268399998546,1.80680800229311,0.297316
243,668252.592,3034564.2,1.426,,2.27768399997149,0.412808001972735,0.443684
244,668251.634,3034566.72,1.817,,1.31968399998732,2.10719199804589,0.834684
245,668253.415,3034564.928,0.325,,3.10068400006276,0.315191997680813,0.657316
246,668246.82,3034565.052,0.376,,3.49431600002572,0.439191997982562,0.606316
247,668252.744,3034565.827,0.153,,2.42968399997335,1.21419199788943,0.829316
248,668251.119,3034566.065,0.433,,0.804683999973349,1.45219199778512,0.549316
249,668249.445,3034566.495,0.29,,0.869316000025719,1.88219199795276,0.692316
250,668247.219,3034563.7,0.713,,3.09531599993352,0.912808001972735,0.269316
251,668248.43,3034564.899,0.797,,1.88431599992327,0.286191998049617,0.185316
252,668250.209,3034564.053,1.076,,0.105315999942832,0.559808002319187,0.093684
253,668249.777,3034562.926,1.214,,0.537315999972634,1.68680800218135,0.231684
254,668249.119,3034565.452,1.537,,1.19531600002665,0.839191997889429,0.554684
255,668251.411,3034564.812,0.19,,1.09668399998918,0.199191997759044,0.792316
256,668252.688,3034564,1.49,,2.37368399999104,0.612808002158999,0.507684
257,668250.645,3034565.561,1.226,,0.33068400004413,0.948191998060793,0.243684
258,668249.59,3034565.786,0.792,,0.724316000007093,1.17319199768826,0.190316
259,668250.067,3034564.254,0.046,,0.247315999935381,0.35880800196901,0.936316
260,668252.856,3034566.242,1.672,,2.54168400005437,1.62919199792668,0.689684
261,668250.714,3034564.087,0.098,,0.399684000061825,0.525808002334088,0.884316
262,668248.986,3034564.832,1.247,,1.32831599994097,0.219191997777671,0.264684
263,668252.618,3034566.162,0.974,,2.30368400004227,1.54919199785218,0.008316
264,668249.641,3034564.102,0.194,,0.673316000029445,0.510808002203703,0.788316
265,668248.425,3034564.93,0.256,,1.88931599992793,0.317191998008639,0.726316
266,668252.046,3034561.842,0.748,,1.7316839999985,2.77080800198019,0.234316
267,668249.494,3034564.317,0.636,,0.820316000026651,0.295808002352715,0.346316
268,668251.479,3034562.401,0.665,,1.16468400007579,2.21180800208822,0.317316
269,668252.522,3034562.194,1.038,,2.20768400002271,2.41880800202489,0.055684
270,668250.33,3034564.946,1.612,,0.015683999983594,0.333191997837275,0.629684
271,668252.151,3034565.388,0.406,,1.83668399997987,0.77519199764356,0.576316
272,668248.726,3034566.742,1.909,,1.58831599995028,2.12919199792668,0.926684
273,668250.151,3034564.396,1.282,,0.163316000020131,0.21680800197646,0.299684
274,668250.56,3034563.293,1.008,,0.245684000081383,1.31980800209567,0.025684
275,668249.235,3034562.178,1.326,,1.07931599998847,2.43480800231919,0.343684
276,668251.131,3034564.904,1.083,,0.816684000077657,0.291191997937858,0.100684
277,668252.748,3034565.936,0.102,,2.43368400004692,1.32319199806079,0.880316
278,668248.763,3034568.233,1.362,,1.55131599993911,3.62019199784845,0.379684
279,668250.194,3034564.59,1.279,,0.120315999956802,0.022808002308011,0.296684
280,668250.362,3034563.019,0.374,,0.047683999990113,1.59380800230429,0.608316
281,668247.52,3034565.006,1.245,,2.79431599995587,0.393191997893155,0.262684
282,668251.192,3034562.492,1.876,,0.877684000064619,2.12080800207332,0.893684
283,668250.151,3034564.551,0.597,,0.163316000020131,0.061808002181351,0.385316
284,668252.864,3034567.038,1.399,,2.54968399996869,2.42519199801609,0.416684
285,668251.005,3034564.588,0.827,,0.69068400003016,0.024808002170175,0.155316
286,668249.317,3034564.544,0.329,,0.997315999935381,0.068808001931757,0.653316
287,668249.507,3034563.514,1.878,,0.807315999991261,1.09880800219253,0.895684
288,668252.44,3034562.955,1.543,,2.12568399996962,1.65780800208449,0.560684
289,668249.401,3034568.394,0.204,,0.913316000020132,3.78119199769571,0.778316
290,668249.076,3034564.75,1.024,,1.23831599997357,0.137191997841001,0.041684
291,668252.997,3034566.975,0.236,,2.68268399999943,2.36219199793413,0.746316
292,668246.48,3034565.771,0.731,,3.83431599999312,1.15819199802354,0.251316
293,668249.999,3034564.507,1.736,,0.315316000021994,0.105808001942933,0.753684
294,668251.146,3034563.682,0.819,,0.831683999975212,0.930808002129197,0.163316
295,668250.316,3034564.875,0.796,,0.001684000017121,0.262191997841001,0.186316
296,668251.065,3034566.294,1.121,,0.750683999969624,1.68119199806824,0.138684
297,668248.614,3034564.697,1.762,,1.70031600003131,0.084191998001188,0.779684
298,668249.778,3034565.622,0.472,,0.536315999925137,1.00919199781492,0.510316
299,668248.736,3034562.721,1.528,,1.57831599994097,1.89180800225586,0.545684
300,668248.87,3034563.194,0.184,,1.44431599997915,1.41880800202489,0.798316
301,668248.764,3034564.152,0.897,,1.55031600000802,0.460808002389967,0.085316
302,668248.337,3034565.925,0.461,,1.97731599991675,1.31219199765474,0.521316
303,668249.933,3034565.185,1.3,,0.381316000013612,0.57219199789688,0.317684
304,668253.039,3034562.199,1.689,,2.72468400001526,2.41380800213665,0.706684
305,668249.79,3034568.015,1.144,,0.524315999937244,3.40219199797139,0.161684
306,668252.861,3034566.658,0.343,,2.54668400005903,2.04519199766219,0.639316
307,668250.251,3034564.398,0.356,,0.063315999926999,0.214808002114296,0.626316
308,668250.945,3034562.292,0.169,,0.630683999974281,2.32080800225958,0.813316
309,668249.958,3034564.855,0.8,,0.356315999990329,0.242191997822374,0.182316
310,668250.322,3034564.509,1.297,,0.007684000069276,0.103808002080768,0.314684
311,668249.771,3034562.578,1.366,,0.543316000024788,2.03480800194666,0.383684
312,668248.464,3034563.672,0.115,,1.85031599993818,0.940808002371341,0.867316
313,668250.463,3034565.075,0.015,,0.148684000014327,0.462191998027265,0.967316
314,668252.749,3034563.67,0.834,,2.43468399997801,0.942808002233505,0.148316
315,668248.218,3034562.943,1.461,,2.09631599998102,1.6698080021888,0.478684
316,668249.946,3034564.427,0.171,,0.368315999978222,0.185808002017438,0.811316
317,668250.248,3034566.569,1.117,,0.066315999953076,1.95619199797511,0.134684
318,668251.952,3034562.302,0.67,,1.63768400007393,2.31080800201744,0.312316
319,668250.166,3034565.154,1.898,,0.148316000006162,0.541191997937858,0.915684
320,668252.158,3034568.054,0.233,,1.84368400007952,3.44119199784473,0.749316
321,668253.152,3034566.108,1.662,,2.83768400002737,1.49519199784845,0.679684
322,668250.509,3034564.746,1.805,,0.194683999987319,0.133191997651011,0.822684
323,668250.324,3034566.797,1.004,,0.009684000047855,2.18419199762866,0.021684
324,668250.068,3034563.791,0.712,,0.246316000004299,0.821808001957834,0.270316
325,668250.18,3034563.344,0.379,,0.134315999923274,1.26880800211802,0.603316
326,668247.087,3034566.316,1.151,,3.22731599991675,1.70319199794903,0.168684
327,668250.016,3034565.467,0.181,,0.298316000029445,0.854191998019815,0.801316
328,668249.822,3034563.884,0.918,,0.492315999930725,0.728808002080768,0.064316
329,668250.544,3034562.079,1.7,,0.229684000019915,2.53380800224841,0.717684
330,668251.057,3034561.174,0.489,,0.742684000055306,3.43880800204352,0.493316
331,668252.178,3034563.797,1.568,,1.86368399998173,0.815808002371341,0.585684
332,668249.234,3034564.335,1.905,,1.08031599991955,0.277808002196252,0.922684
333,668250.609,3034565.571,0.29,,0.294684000080451,0.958191997837275,0.692316
334,668250.451,3034564.144,0.11,,0.136684000026435,0.468808002304286,0.872316
335,668247.993,3034563.638,0.639,,2.32131599995773,0.97480800235644,0.343316
336,668250.857,3034564.264,1.456,,0.542683999985456,0.348808002192527,0.473684
337,668249.927,3034564.256,1.326,,0.387315999949351,0.356808002106845,0.343684
338,668248.346,3034564.219,1.167,,1.96831599995494,0.393808002118021,0.184684
339,668251.555,3034565.304,1.647,,1.24068400007673,0.691191997844726,0.664684
340,668251.593,3034565.897,0.565,,1.27868400001898,1.28419199772179,0.417316
341,668249.749,3034564.133,0.7,,0.565316000021994,0.479808002244681,0.282316
342,668251.392,3034566.58,0.373,,1.07768400001805,1.96719199791551,0.609316
343,668250.647,3034564.157,1.83,,0.332684000022709,0.455808002036065,0.847684
344,668252.126,3034564.057,0.749,,1.811684000073,0.555808002129197,0.233316
345,668249.655,3034567.321,0.543,,0.659315999946557,2.70819199783728,0.439316
346,668249.635,3034563.117,0.499,,0.679315999965183,1.49580800207332,0.483316
347,668250.707,3034564.443,0.662,,0.392684000078589,0.169808002188802,0.320316
348,668247.38,3034567.337,1.751,,2.93431599996984,2.72419199766591,0.768684
349,668251.411,3034565.402,1.083,,1.09668399998918,0.789191997610033,0.100684
350,668248.358,3034567.225,1.069,,1.95631599996705,2.61219199793413,0.086684
351,668249.856,3034563.378,0.327,,0.458315999945626,1.23480800213292,0.655316
352,668253.041,3034563.404,0.76,,2.72668399999384,1.20880800206214,0.222316
353,668248.983,3034568.41,1.086,,1.33131599996705,3.79719199799001,0.103684
354,668251.248,3034562.131,1.081,,0.933684000046924,2.48180800210685,0.098684
355,668250.146,3034564.623,0.638,,0.168316000024788,0.010191997978836,0.344316
